1,	150,	100.000000,	100.000000
2,	54,	89.000000,	88.500000
3,	244,	96.000000,	89.100000
4,	100,	78.000000,	100.000000
5,	187,	100.000000,	100.000000
6,	169,	46.800000,	60.200000
7,	58,	77.300000,	91.600000
8,	213,	88.500000,	79.000000
9,	179,	95.500000,	92.000000
10,	65,	80.400000,	75.900000
11,	47,	100.000000,	100.000000
12,	31,	84.700000,	91.900000
13,	86,	63.600000,	62.200000
14,	37,	69.900000,	66.700000
15,	71,	92.000000,	93.000000
16,	153,	94.000000,	65.000000
17,	25,	77.500000,	52.500000
18,	57,	96.000000,	87.500000
19,	121,	100.000000,	100.000000
20,	91,	100.000000,	100.000000
21,	233,	79.000000,	100.000000
22,	105,	100.000000,	100.000000
23,	174,	92.300000,	86.000000
24,	143,	100.000000,	100.000000
25,	17,	52.500000,	77.500000
26,	178,	100.000000,	100.000000
27,	140,	92.000000,	76.000000
28,	198,	100.000000,	100.000000
29,	222,	95.400000,	96.800000
30,	161,	100.000000,	100.000000
31,	12,	91.900000,	84.700000
32,	212,	75.000000,	83.700000
33,	205,	100.000000,	100.000000
34,	194,	95.000000,	93.500000
35,	182,	100.000000,	100.000000
36,	97,	86.000000,	78.000000
37,	14,	66.700000,	69.900000
38,	232,	92.000000,	87.500000
39,	125,	82.500000,	85.300000
40,	92,	94.500000,	90.500000
41,	192,	90.000000,	60.000000
42,	243,	97.500000,	88.500000
43,	56,	82.000000,	85.500000
44,	146,	91.000000,	82.900000
45,	221,	100.000000,	100.000000
46,	50,	100.000000,	100.000000
47,	11,	100.000000,	100.000000
48,	211,	74.500000,	68.000000
49,	68,	93.000000,	95.000000
50,	46,	100.000000,	100.000000
51,	52,	88.100000,	88.100000
52,	51,	88.100000,	88.100000
53,	156,	89.000000,	90.500000
54,	2,	88.500000,	89.000000
55,	63,	100.000000,	100.000000
56,	43,	85.500000,	82.000000
57,	18,	87.500000,	96.000000
58,	7,	91.600000,	77.300000
59,	127,	100.000000,	100.000000
60,	78,	73.500000,	76.500000
61,	96,	72.000000,	73.000000
62,	241,	62.500000,	61.500000
63,	55,	100.000000,	100.000000
64,	107,	100.000000,	100.000000
65,	10,	75.900000,	80.400000
66,	180,	100.000000,	100.000000
67,	227,	82.500000,	89.900000
68,	49,	95.000000,	93.000000
69,	106,	87.500000,	90.000000
70,	216,	100.000000,	100.000000
71,	15,	93.000000,	92.000000
72,	210,	60.200000,	85.200000
73,	239,	97.000000,	87.500000
74,	190,	99.000000,	100.000000
75,	81,	100.000000,	99.000000
